open,high,low,close,adj_close,volume,volatility,call_price,put_price,target,rsi_14,stoch_rsi_14,macd,ema_14,mean_predictions,std_predictions,confidence,predicted_close,signal_ml
9669.4296875,10475.0,9501.73046875,10366.7001953125,10366.7001953125,7287690240,1.107120099998719,633.467702146173,633.4622552043602,10725.599609375,59.87934374638659,0.5132266051584521,16.098613839865635,10060.755991048618,10453.544971327516,274.12513949645904,0.0036347096518705097,10453.544971327516,1
10393.900390625,10878.5,10246.099609375,10725.599609375,10725.599609375,6966179840,1.0108137295565451,598.4843903363135,598.4787548191407,10397.900390625,64.53219933418644,0.5754013086746738,38.06901161925043,10149.40180682547,10617.58524308271,172.442429275719,0.0057656019013105145,10617.58524308271,-1
10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,10397.900390625,6936189952,0.9679022413523879,555.6058402176877,555.6003768824576,10951.0,56.69028963390597,0.029348459873668194,26.797435926441892,10182.534951332074,10762.847647866012,173.68581564565784,0.005724563246900676,10762.847647866012,1
10385.0,11052.2998046875,10352.7001953125,10951.0,10951.0,7317279744,0.9074080688381384,548.637589444259,548.6318354956857,11086.400390625,55.91531214954153,0.0,51.43075661575509,10284.996957821131,10985.788150911318,246.7221822478172,0.004036780198390213,10985.788150911318,1
10977.400390625,11189.0,10850.099609375,11086.400390625,11086.400390625,7620590080,0.841936899427613,515.3937541569685,515.3879290654058,11489.7001953125,56.36209423210742,0.019904285092103693,70.50344197199166,10391.850748861647,11355.536944408035,220.69764813191307,0.004510647760254933,11355.536944408035,1
11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,11489.7001953125,6690570240,0.7637537580367804,484.5905097072564,484.58447271117984,11512.599609375,53.02843456303868,0.0,102.02703028432683,10538.230675055094,11462.760197919917,202.79833479704794,0.00490681143688366,11462.760197919917,-1
11497.400390625,11512.599609375,11136.099609375,11512.599609375,11512.599609375,6084149760,0.6453444200315175,410.332757624893,410.32670859684913,11573.2998046875,58.44831935926457,0.2139422149935654,115.19328028090052,10668.146532964414,11432.262319068717,185.711052016488,0.0053558693457080005,11432.262319068717,-1
11532.400390625,11704.099609375,11443.900390625,11573.2998046875,11573.2998046875,6468539904,0.5963769424162935,381.2155744228912,381.20949350134106,10779.900390625,53.429560014028056,0.01714931798799238,118.3131184437733,10788.833635860825,11344.994383098938,205.50598792301162,0.0048424745938738314,11344.994383098938,-1
11500.099609375,11500.099609375,10694.2998046875,10779.900390625,10779.900390625,6832169984,0.8448712748487456,502.88955473928854,502.8838906910305,9965.5703125,44.51704454253784,0.0,60.19621196172801,10787.642536496049,10408.262085306627,236.13263684472494,0.004217049214759934,10408.262085306627,-1
10803.900390625,10929.5,9692.1201171875,9965.5703125,9965.5703125,8797910016,0.9456067652691654,520.2561580374249,520.2509218599907,9395.009765625,43.74020412528195,0.0,-34.72906086556418,10678.03290662991,9706.412162692894,252.66495613910908,0.003942207923476836,9706.412162692894,-1
9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,9395.009765625,7186089984,0.953732147040965,494.67821741347143,494.67328102382453,9337.5498046875,44.6253777370881,0.04257280760756731,-132.11300841433717,10506.963154495921,9340.446990064833,264.7684646118687,0.0037626736545301243,9340.446990064833,-1
9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,9337.5498046875,8704190464,0.8833401859403929,455.41263441180854,455.40772821316204,8866.0,41.13746873514004,0.0,-192.88698522834477,10351.041374521466,8903.266108710653,228.065800019065,0.004365557843714648,8903.266108710653,-1
9350.58984375,9531.3203125,8828.4697265625,8866.0,8866.0,5386319872,0.8553645147286933,418.7357689162236,418.73111048246847,9578.6298828125,41.26255613388741,0.005346819371045328,-253.5152873323551,10153.035857918605,9097.03014896316,224.13618710660845,0.004441755956035941,9097.03014896316,1
8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,9578.6298828125,6296370176,0.9494298123449132,502.07458341219444,502.0695505436206,9205.1201171875,49.2805643270163,0.3480739202103991,-234.72465375323378,10076.448394571125,9356.211916134998,258.2665284908867,0.00385703471181067,9356.211916134998,-1
9602.9296875,9937.5,8956.4296875,9205.1201171875,9205.1201171875,6457399808,0.937062537265186,476.2205539570232,476.2157173404803,9194.849609375,39.73041362295136,0.0,-235.9207159278551,9960.271290919976,9135.684903329808,204.02969114883925,0.004877342371227882,9135.684903329808,-1
9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375,9194.849609375,5991139840,0.8854114145744303,449.5030325720627,449.4982013519193,8269.8095703125,35.57749000215672,0.0,-225.86256036478244,9858.21506671398,8788.881822575646,164.66248905510517,0.006036369522779323,8788.881822575646,-1
9214.650390625,9355.849609375,8068.58984375,8269.8095703125,8269.8095703125,6438230016,0.9762540251111155,445.6997092475235,445.6953640681804,8300.8603515625,31.978006728252723,0.0,-267.1414122426628,9646.427667193782,8384.056336960026,213.73164859781062,0.00465697537614954,8384.056336960026,1
8290.759765625,8428.349609375,7783.0498046875,8300.8603515625,8300.8603515625,6834429952,0.9462674833720466,433.651737028802,433.64737553454916,8338.349609375,25.380062058280203,0.0,-276.80904833040955,9467.018691776279,8266.548351590753,121.71275242089735,0.008149112299022194,8266.548351590753,-1
8322.91015625,8585.150390625,8005.31005859375,8338.349609375,8338.349609375,5289379840,0.9164451110285579,421.9004255709888,421.89604437887556,7916.8798828125,23.99742377116287,0.0,-265.1148009665675,9316.52948078944,8154.509542455238,112.09694062527373,0.008841972156553015,8154.509542455238,-1
