time,open,high,low,close,tick_volume,spread,real_volume,target_close,target_open_d2,SMA_9,RSI,macd_histogram,mean_predictions,std_predictions,confidence ,predicted_close,signal_ml
2020-03-19,5331.88,6393.72,5259.48,6244.46,129853,240,0,5917.75,5992.69,6314.912222222222,32.67328574617767,-284.69538814597115,6162.0278,10.861223234977018,0.08430833651719376,6162.0278,-1
2020-03-20,6225.12,6917.7,5596.5,5917.75,181412,211,0,6399.9,6344.76,6100.995555555555,28.526803407584822,-224.79142024778912,6187.275583333333,98.52082340702704,0.010048148375040387,6187.275583333333,1
2020-03-23,5992.69,6620.16,5666.34,6399.9,139524,210,0,6748.95,6729.38,5926.428888888889,34.015002923002115,-139.28254834242648,6729.245549999996,31.332606565201825,0.030928530243406242,6729.245549999996,1
2020-03-24,6344.76,6851.22,6335.38,6748.95,165525,211,0,6596.45,6563.28,5803.201111111111,37.039496255441385,-50.384212969272426,6620.886269999996,58.693483662720254,0.016752247291349148,6620.886269999996,-1
2020-03-25,6729.38,6980.18,6443.4,6596.45,152991,203,0,6737.0,6737.03,5897.584444444444,33.08613735907075,4.085461328166048,6715.146946666661,51.48549467829038,0.01905288320381652,6715.146946666661,1
2020-03-26,6563.28,6792.85,6501.52,6737.0,93543,203,0,6678.93,5899.87,6038.362222222222,34.17905593878646,52.81298231280368,6669.120263333331,45.488361879894164,0.021510760103433366,6669.120263333331,-1
2020-03-27,6737.03,6867.68,6575.83,6678.93,66360,232,0,6464.95,6465.1,6236.485555555555,40.81226094766935,82.59121981942508,6447.266128333332,58.73286532188151,0.01674120259611382,6447.266128333332,-1
2020-03-30,5899.87,6519.43,5722.0,6464.95,74740,205,0,6479.97,6458.06,6346.926666666667,38.272264436861555,88.79333507208389,6481.853931666663,117.56768703847008,0.008434001075483097,6481.853931666663,1
2020-03-31,6465.1,6610.94,6338.76,6479.97,86098,204,0,6352.45,6373.08,6474.262222222223,39.102881426431814,94.30513555386415,6432.272181666667,33.62501152303061,0.028880856814584924,6432.272181666667,-1
2020-04-01,6458.06,6493.43,6147.37,6352.45,72042,202,0,6751.48,6693.47,6486.261111111111,56.97614663677027,89.78381214133879,6696.906966666661,74.54696446885738,0.01323679921530439,6696.906966666661,1
2020-04-02,6373.08,7251.64,6310.21,6751.48,107884,205,0,6688.4,6730.16,6578.897777777778,64.36166636033943,112.6094917041126,6693.953111666665,51.16506884962322,0.01916991623039376,6693.953111666665,-1
